Model,R² Score,RMSE,MAE
Simple Linear,0.6766954295627076,3.194472431998898,2.444420003751042
Multiple Linear,0.899438024100912,1.78159966153345,1.4607567168117603
Polynomial,0.9869181490609604,0.6425809120553618,0.5261794444043822
Random Forest,0.9812843792541843,0.7685910811348248,0.6200999999999988
