Feature,Coefficient,Abs_Coefficient
Radio_Budget,0.18919505423437652,0.18919505423437652
TV_Budget,0.044729517468716326,0.044729517468716326
Newspaper_Budget,0.0027611143413671935,0.0027611143413671935
